歌名,歌手,曲风,推荐标签,语种,BPM,乐评
K,HAO付豪、,节奏布鲁斯-另类节奏布鲁斯、,抒情、悲伤、爱情、慵懒、浪漫、放松、,英语,127,
回忆创作,From12X、,流行-华语流行、,热血、抒情、动感、爱情、活力、,国语,78,
Real World,雷擎、,节奏布鲁斯-灵魂乐、节奏布鲁斯-当代节奏布鲁斯、流行、,动感、放松、,华语,115,
White Shirt,The Fausty 浮世人、,节奏布鲁斯、流行、,抒情、悲伤、慵懒、放松、,英语,77,
R.I.P.,韦礼安、,流行、,动感、活力、,英语,74,
周末,宋柏緯、,另类/独立、流行-华语流行、,抒情、悲伤、慵懒、放松、,华语,92,
单⼈电影院,蓝婷 Lan Ting、羅西Roxi、罗莎莎、,流行、,可爱、快乐、放松、,华语,173,
ice cream,古潮G&C、,节奏布鲁斯、流行、,动感、,国语,82,
late night cruising,Julia Wu、,节奏布鲁斯、流行-华语流行、,动感、,华语,71,
Mr. Right,South Bad Boy、,流行、,动感、梦幻、放松、,英语,97,
假象,Who Cares 胡凯儿、,流行-华语流行、,放松、抒情、,华语,141,
Our Vibration (Cassette Version),Yufu、,节奏布鲁斯-灵魂乐、流行-华语流行、,动感、活力、,英语,186,
没出息,Skaraoke、,雷鬼、,热血、动感、,华语,125,
爱谁对 (feat. LuuX),陈思函、LuuX、,电子、流行-华语流行、,动感、活力、,华语,109,
末日,春艳 X 萨麦尔、,流行、,抒情、,华语,104,
At All,王水源、,流行-华语流行、嘻哈说唱、,动感、热血、活力、,华语,,
I Can't Even,DOODLE、,摇滚、,热血、动感、放松、,英语,68,
那些你以为的都没有发生,范宥弦、,流行、,抒情、,华语,85,
漫漫,Lisa Djaati、,流行-华语流行、,KTV、放松、治愈、,华语,137,
神在组装我的时候,游士衢、,,抒情、悲伤、思念、,华语,137,
是什么逐渐在累积着悲伤,东波、,流行-华语流行、,快乐、可爱、,国语,,
蜂蜜般的午后,Lucas 卢子翔、Hanna、,电子、,,华语,105,
That's All My Fault,黃浩庭、,另类/独立、,抒情、,华语,,
